Country,2007 Pop,2008 Pop,2009 Pop,2010 Pop,2011 Pop,2012 Pop,2013 Pop
Namibia,2010000,2040000,2080000,2120000,2160000,2190000,2230000
Nauru,9850,9880,9950,10000,10100,10100,10200
Nepal,26400000,26700000,26900000,27000000,27000000,27000000,26900000
Netherlands,16500000,16600000,16600000,16700000,16700000,16800000,16800000
New Zealand,4230000,4280000,4320000,4370000,4420000,4470000,4520000
Nicaragua,5590000,5670000,5750000,5820000,5900000,5980000,6060000
Niger,14700000,15300000,15800000,16500000,17100000,17800000,18500000
Nigeria,146000000,150000000,154000000,159000000,163000000,167000000,172000000
North Korea,24200000,24300000,24400000,24500000,24700000,24800000,24900000
North Macedonia,2070000,2070000,2070000,2070000,2070000,2070000,2080000
Norway,4720000,4770000,4830000,4890000,4950000,5010000,5080000
Oman,2660000,2750000,2880000,3040000,3250000,3500000,3760000
Pakistan,168000000,172000000,176000000,179000000,183000000,187000000,191000000
Palau,19200,18700,18300,18000,17700,17600,17600
Palestine,3760000,3860000,3960000,4060000,4150000,4240000,4330000
Panama,3450000,3520000,3580000,3640000,3710000,3770000,3840000
Papua New Guinea,6810000,6980000,7140000,7310000,7470000,7630000,7790000
Paraguay,6000000,6080000,6160000,6250000,6330000,6420000,6510000
Peru,28300000,28600000,28800000,29000000,29300000,29500000,29800000
Philippines,89400000,90900000,92400000,94000000,95600000,97200000,98900000
Poland,38400000,38400000,38400000,38300000,38300000,38200000,38200000
Portugal,10600000,10600000,10600000,10600000,10600000,10500000,10500000
Qatar,1220000,1440000,1650000,1860000,2040000,2200000,2340000
Rep. of Congo,3880000,4010000,4150000,4270000,4390000,4510000,4620000
Romania,21000000,20800000,20600000,20500000,20300000,20200000,20100000
Russia,143000000,143000000,143000000,143000000,144000000,144000000,144000000
Rwanda,9270000,9520000,9780000,10000000,10300000,10500000,10800000
Samoa,182000,183000,185000,186000,187000,189000,191000
San Marino,30100,30400,30800,31200,31700,32100,32600
Sao Tome and Principe,166000,171000,176000,180000,185000,188000,192000
Saudi Arabia,25200000,25900000,26600000,27400000,28300000,29200000,30100000
Senegal,11700000,12000000,12300000,12700000,13000000,13400000,13800000
Serbia,9100000,9060000,9020000,8990000,8960000,8940000,8920000
Seychelles,90100,90500,90800,91300,91900,92600,93400
Sierra Leone,5990000,6130000,6270000,6420000,6560000,6710000,6860000
Singapore,4580000,4780000,4970000,5130000,5260000,5370000,5450000
Slovak Republic,5400000,5400000,5400000,5400000,5410000,5410000,5420000
Slovenia,2010000,2020000,2030000,2040000,2050000,2060000,2060000
Solomon Islands,492000,503000,515000,528000,542000,556000,571000
Somalia,11100000,11400000,11700000,12000000,12400000,12700000,13100000
South Africa,49100000,49800000,50500000,51200000,52000000,52800000,53700000
South Korea,49000000,49200000,49300000,49500000,49800000,50100000,50300000
South Sudan,8320000,8740000,9140000,9510000,9830000,10100000,10400000
Spain,45400000,46100000,46600000,46900000,47100000,47100000,46900000
Sri Lanka,19800000,20000000,20100000,20300000,20400000,20500000,20700000
St. Kitts and Nevis,47800,48200,48600,49000,49400,49900,50300
St. Lucia,168000,170000,172000,174000,176000,177000,178000
St. Vincent and the Grenadines,109000,108000,108000,108000,108000,108000,109000
Sudan,32400000,33100000,33800000,34500000,35300000,36200000,37100000
Suriname,511000,517000,523000,529000,535000,541000,547000
Sweden,9160000,9240000,9310000,9390000,9470000,9540000,9620000
Switzerland,7540000,7620000,7710000,7810000,7910000,8010000,8110000
Syria,19900000,20700000,21200000,21400000,21100000,20400000,19600000
Tajikistan,7060000,7210000,7360000,7530000,7700000,7870000,8060000
Tanzania,40700000,41900000,43100000,44300000,45700000,47100000,48500000
Thailand,66200000,66500000,66900000,67200000,67500000,67800000,68100000
Timor-Leste,1040000,1060000,1070000,1090000,1110000,1130000,1150000
Togo,5920000,6080000,6250000,6420000,6600000,6770000,6950000
Tonga,103000,103000,104000,104000,104000,103000,102000
Trinidad and Tobago,1310000,1310000,1320000,1330000,1340000,1340000,1350000
Tunisia,10300000,10400000,10500000,10600000,10700000,10800000,11000000
Turkey,69600000,70400000,71300000,72300000,73400000,74700000,75900000
Turkmenistan,4870000,4940000,5010000,5090000,5170000,5270000,5370000
Tuvalu,10200,10300,10400,10500,10600,10700,10800
Uganda,29500000,30400000,31400000,32400000,33500000,34600000,35700000
Ukraine,46400000,46200000,46000000,45800000,45600000,45500000,45300000
United Arab Emirates,6170000,7090000,7920000,8550000,8950000,9140000,9200000
United Kingdom,61500000,62100000,62800000,63500000,64000000,64500000,65000000
United States,301000000,303000000,306000000,309000000,312000000,314000000,316000000
Uruguay,3330000,3340000,3350000,3360000,3370000,3380000,3390000
Uzbekistan,27200000,27600000,28100000,28500000,29000000,29400000,29900000
Vanuatu,219000,225000,230000,236000,243000,250000,257000
Venezuela,27200000,27600000,28000000,28400000,28900000,29400000,29800000
Vietnam,85400000,86200000,87100000,88000000,88900000,89800000,90800000
Yemen,21300000,21900000,22500000,23200000,23800000,24500000,25100000
Zambia,12500000,12800000,13200000,13600000,14000000,14500000,14900000
Zimbabwe,12300000,12400000,12500000,12700000,12900000,13100000,13400000
