Country,2007 Pop,2008 Pop,2009 Pop,2010 Pop,2011 Pop,2012 Pop,2013 Pop
Afghanistan,27100000,27700000,28400000,29200000,30100000,31200000,32300000
Albania,3030000,3000000,2970000,2950000,2930000,2910000,2900000
Algeria,34200000,34700000,35300000,36000000,36700000,37400000,38100000
Andorra,82700,83900,84500,84500,83700,82400,80800
Angola,20900000,21700000,22500000,23400000,24200000,25100000,26000000
Antigua and Barbuda,84000,85400,86700,88000,89300,90400,91500
Argentina,39700000,40100000,40500000,40900000,41300000,41800000,42200000
Armenia,2930000,2910000,2890000,2880000,2880000,2880000,2900000
Australia,20900000,21300000,21800000,22200000,22500000,22900000,23300000
Austria,8310000,8340000,8370000,8410000,8450000,8500000,8560000
Azerbaijan,8720000,8820000,8920000,9030000,9150000,9260000,9390000
Bahamas,337000,344000,350000,355000,360000,364000,367000
Bahrain,1040000,1110000,1190000,1240000,1280000,1300000,1320000
Bangladesh,143000000,144000000,146000000,148000000,149000000,151000000,153000000
Barbados,279000,280000,281000,282000,283000,284000,284000
Belarus,9480000,9450000,9430000,9420000,9420000,9420000,9420000
Belgium,10700000,10800000,10900000,10900000,11000000,11100000,11200000
Belize,299000,307000,315000,322000,330000,338000,346000
Benin,8450000,8700000,8940000,9200000,9460000,9730000,10000000
Bhutan,665000,672000,678000,686000,693000,702000,710000
Bolivia,9560000,9720000,9880000,10000000,10200000,10400000,10500000
Bosnia and Herzegovina,3760000,3750000,3740000,3710000,3660000,3600000,3540000
Botswana,1880000,1920000,1950000,1990000,2020000,2040000,2060000
Brazil,190000000,192000000,194000000,196000000,198000000,199000000,201000000
Brunei,375000,379000,384000,389000,394000,399000,404000
Bulgaria,7580000,7520000,7470000,7430000,7380000,7330000,7290000
Burkina Faso,14300000,14700000,15100000,15600000,16100000,16600000,17100000
Burundi,7860000,8130000,8400000,8680000,8960000,9250000,9540000
Cambodia,13700000,13900000,14100000,14300000,14500000,14800000,15000000
Cameroon,18700000,19300000,19800000,20300000,20900000,21500000,22100000
Canada,32900000,33300000,33700000,34100000,34500000,34900000,35300000
Cape Verde,475000,481000,487000,493000,499000,505000,512000
Central African Republic,4200000,4270000,4340000,4390000,4420000,4440000,4450000
Chad,10800000,11200000,11600000,12000000,12400000,12800000,13200000
Chile,16500000,16700000,16900000,17100000,17200000,17400000,17600000
China,1350000000,1350000000,1360000000,1370000000,1380000000,1380000000,1390000000
Colombia,43700000,44300000,44800000,45200000,45700000,46100000,46500000
Comoros,642000,657000,673000,690000,707000,724000,742000
Costa Rica,4400000,4460000,4520000,4580000,4630000,4690000,4740000
Cote d'Ivoire,19200000,19600000,20100000,20500000,21000000,21500000,22100000
Croatia,4360000,4350000,4340000,4330000,4310000,4300000,4280000
Cuba,11300000,11200000,11200000,11200000,11200000,11300000,11300000
Cyprus,1060000,1080000,1100000,1110000,1120000,1140000,1140000
Czech Republic,10400000,10400000,10500000,10500000,10600000,10600000,10600000
Dem. Rep. of Congo,58500000,60400000,62400000,64600000,66800000,69000000,71400000
Denmark,5470000,5500000,5530000,5550000,5580000,5610000,5640000
Djibouti,805000,816000,828000,840000,854000,868000,883000
Dominica,70800,70800,70800,70900,70900,71000,71000
Dominican Republic,9340000,9460000,9580000,9700000,9810000,9930000,10000000
Ecuador,14300000,14500000,14800000,15000000,15200000,15500000,15700000
Egypt,78200000,79600000,81100000,82800000,84500000,86400000,88400000
El Salvador,6110000,6130000,6160000,6180000,6210000,6240000,6270000
Equatorial Guinea,822000,861000,902000,944000,987000,1030000,1080000
Eritrea,3000000,3060000,3120000,3170000,3210000,3250000,3280000
Estonia,1340000,1340000,1340000,1330000,1330000,1320000,1320000
Eswatini,1040000,1050000,1060000,1060000,1070000,1080000,1090000
Ethiopia,80700000,82900000,85200000,87600000,90100000,92700000,95400000
Fed. Sts. Micronesia,104000,104000,103000,103000,103000,105000,106000
Fiji,836000,845000,854000,860000,863000,865000,866000
Finland,5300000,5320000,5340000,5370000,5390000,5410000,5440000
France,61900000,62200000,62500000,62900000,63200000,63600000,63900000
Gabon,1470000,1520000,1570000,1620000,1680000,1750000,1820000
Gambia,1640000,1690000,1740000,1790000,1850000,1910000,1960000
Georgia,4170000,4140000,4120000,4100000,4080000,4060000,4050000
Germany,81300000,81100000,80900000,80800000,80900000,81000000,81200000
Ghana,23000000,23600000,24200000,24800000,25400000,26000000,26600000
Greece,11100000,11000000,11000000,10900000,10800000,10800000,10700000
Grenada,105000,105000,106000,106000,107000,107000,108000
Guatemala,13700000,14000000,14300000,14600000,14900000,15300000,15600000
Guinea,9520000,9740000,9960000,10200000,10400000,10700000,10900000
Guinea-Bissau,1410000,1450000,1480000,1520000,1560000,1600000,1650000
Guyana,746000,747000,748000,749000,752000,755000,759000
Haiti,9500000,9650000,9800000,9950000,10100000,10300000,10400000
Honduras,7810000,7980000,8150000,8320000,8480000,8640000,8800000
Hungary,10000000,9990000,9960000,9930000,9900000,9860000,9830000
Iceland,305000,311000,316000,320000,323000,326000,327000
India,1180000000,1200000000,1220000000,1230000000,1250000000,1270000000,1280000000
Indonesia,232000000,235000000,239000000,242000000,245000000,248000000,252000000
Iran,71300000,72100000,72900000,73800000,74600000,75500000,76500000
Iraq,27900000,28400000,29000000,29700000,30700000,31900000,33200000
Ireland,4320000,4420000,4490000,4550000,4590000,4610000,4620000
Israel,6850000,7020000,7190000,7350000,7490000,7610000,7730000
Italy,58700000,58900000,59100000,59300000,59600000,59900000,60200000
Jamaica,2770000,2780000,2800000,2810000,2830000,2840000,2860000
Japan,128000000,129000000,129000000,129000000,128000000,128000000,128000000
Jordan,6260000,6560000,6890000,7260000,7660000,8090000,8520000
Kazakhstan,15700000,15900000,16000000,16300000,16500000,16800000,17000000
Kenya,38700000,39800000,40900000,42000000,43200000,44300000,45500000
Kiribati,96500,98800,101000,103000,105000,106000,108000
Kuwait,2500000,2660000,2820000,2990000,3170000,3350000,3530000
Kyrgyz Republic,5180000,5250000,5330000,5420000,5520000,5620000,5730000
Lao,5940000,6050000,6150000,6250000,6350000,6440000,6540000
Latvia,2200000,2170000,2140000,2120000,2090000,2070000,2040000
Lebanon,4770000,4760000,4810000,4950000,5200000,5540000,5910000
Lesotho,1990000,1990000,1990000,2000000,2000000,2010000,2030000
Liberia,3460000,3610000,3750000,3890000,4020000,4140000,4250000
Libya,5970000,6060000,6130000,6200000,6250000,6290000,6320000
Liechtenstein,35200,35500,35700,36000,36300,36600,36900
Lithuania,3260000,3210000,3170000,3120000,3080000,3050000,3010000
Luxembourg,475000,485000,497000,508000,519000,531000,543000
Madagascar,19400000,20000000,20600000,21200000,21700000,22300000,23000000
Malawi,13300000,13700000,14100000,14500000,15000000,15400000,15800000
Malaysia,26700000,27200000,27700000,28200000,28700000,29100000,29500000
Maldives,335000,343000,353000,366000,380000,397000,416000
Mali,13700000,14100000,14600000,15000000,15500000,16000000,16400000
Malta,408000,409000,412000,414000,418000,422000,426000
Marshall Islands,56000,56200,56300,56400,56500,56700,56900
Mauritania,3200000,3300000,3390000,3490000,3600000,3710000,3820000
Mauritius,1230000,1240000,1240000,1250000,1250000,1250000,1260000
Mexico,109000000,111000000,112000000,114000000,116000000,117000000,119000000
Moldova,4130000,4110000,4100000,4090000,4080000,4080000,4070000
Monaco,34500,34900,35200,35600,36000,36500,36900
Mongolia,2590000,2630000,2670000,2720000,2770000,2820000,2880000
Montenegro,620000,621000,623000,624000,625000,626000,626000
Morocco,31200000,31500000,31900000,32300000,32800000,33200000,33700000
Mozambique,21700000,22300000,22900000,23500000,24200000,24900000,25600000
Myanmar,49600000,49900000,50300000,50600000,51000000,51400000,51900000
