Country,2000 Pop,2001 Pop,2002 Pop,2003 Pop,2004 Pop,2005 Pop,2006 Pop
Georgia,4360000,4300000,4260000,4240000,4230000,4210000,4190000
Germany,81400000,81500000,81500000,81600000,81600000,81600000,81500000
Ghana,19300000,19800000,20200000,20800000,21300000,21800000,22400000
Greece,11100000,11100000,11200000,11200000,11200000,11200000,11200000
Grenada,103000,103000,104000,104000,104000,105000,105000
Guatemala,11700000,11900000,12200000,12500000,12800000,13100000,13400000
Guinea,8240000,8420000,8590000,8750000,8930000,9110000,9310000
Guinea-Bissau,1200000,1230000,1250000,1280000,1310000,1340000,1380000
Guyana,747000,745000,745000,745000,746000,746000,746000
Haiti,8460000,8610000,8750000,8900000,9050000,9200000,9340000
Honduras,6570000,6750000,6930000,7110000,7280000,7460000,7630000
Hungary,10200000,10200000,10200000,10100000,10100000,10100000,10100000
Iceland,280000,283000,285000,288000,291000,295000,300000
India,1060000000,1080000000,1090000000,1110000000,1130000000,1150000000,1170000000
Indonesia,212000000,214000000,217000000,220000000,223000000,226000000,229000000
Iran,65600000,66400000,67300000,68100000,69000000,69800000,70600000
Iraq,23500000,24200000,24900000,25600000,26300000,26900000,27400000
Ireland,3780000,3840000,3910000,3980000,4060000,4140000,4230000
Israel,5950000,6060000,6170000,6280000,6400000,6530000,6680000
Italy,56700000,56900000,57200000,57600000,57900000,58300000,58500000
Jamaica,2650000,2670000,2690000,2710000,2730000,2740000,2750000
Japan,128000000,128000000,128000000,128000000,128000000,128000000,128000000
Jordan,5120000,5220000,5320000,5430000,5580000,5770000,5990000
Kazakhstan,14900000,14900000,15000000,15100000,15300000,15400000,15600000
Kenya,32000000,32800000,33800000,34700000,35600000,36600000,37600000
Kiribati,84400,85800,87300,88800,90500,92300,94300
Kuwait,2050000,2100000,2140000,2160000,2200000,2270000,2370000
Kyrgyz Republic,4920000,4960000,4990000,5010000,5040000,5080000,5120000
Lao,5320000,5410000,5490000,5580000,5660000,5750000,5850000
Latvia,2380000,2360000,2330000,2310000,2280000,2250000,2230000
Lebanon,3840000,3990000,4180000,4390000,4570000,4700000,4760000
Lesotho,2030000,2040000,2030000,2020000,2010000,2000000,1990000
Liberia,2850000,2950000,3020000,3080000,3140000,3220000,3330000
Libya,5360000,5440000,5530000,5620000,5710000,5800000,5890000
Liechtenstein,33200,33500,33900,34200,34400,34700,35000
Lithuania,3500000,3470000,3440000,3410000,3380000,3340000,3300000
Luxembourg,436000,440000,444000,447000,452000,458000,466000
Madagascar,15800000,16300000,16800000,17300000,17800000,18300000,18900000
Malawi,11100000,11400000,11700000,12000000,12300000,12600000,13000000
Malaysia,23200000,23700000,24200000,24700000,25200000,25700000,26200000
Maldives,279000,286000,294000,303000,311000,320000,327000
Mali,10900000,11300000,11600000,12000000,12400000,12800000,13200000
Malta,394000,396000,399000,401000,403000,405000,406000
Marshall Islands,50800,51400,52400,53500,54500,55300,55800
Mauritania,2630000,2700000,2780000,2860000,2940000,3020000,3110000
Mauritius,1190000,1190000,1200000,1210000,1220000,1220000,1230000
Mexico,98900000,100000000,102000000,103000000,105000000,106000000,108000000
Moldova,4200000,4190000,4180000,4170000,4170000,4160000,4150000
Monaco,32100,32500,32800,33100,33500,33800,34200
Mongolia,2400000,2420000,2440000,2470000,2500000,2530000,2560000
Montenegro,614000,613000,613000,614000,615000,616000,618000
Morocco,28800000,29100000,29500000,29800000,30100000,30500000,30800000
Mozambique,17700000,18200000,18800000,19300000,19900000,20500000,21100000
Myanmar,46700000,47200000,47700000,48100000,48600000,48900000,49300000
Namibia,1790000,1820000,1850000,1880000,1910000,1940000,1970000
Nauru,10300,10200,10100,9990,9910,9850,9830
Nepal,23900000,24300000,24700000,25100000,25400000,25700000,26100000
Netherlands,15900000,16000000,16100000,16200000,16300000,16400000,16400000
New Zealand,3860000,3910000,3960000,4020000,4080000,4140000,4190000
Nicaragua,5070000,5150000,5220000,5290000,5360000,5440000,5510000
Niger,11300000,11800000,12200000,12600000,13100000,13600000,14100000
Nigeria,122000000,125000000,129000000,132000000,135000000,139000000,143000000
North Korea,22900000,23100000,23300000,23500000,23700000,23900000,24100000
North Macedonia,2030000,2040000,2050000,2050000,2060000,2060000,2060000
Norway,4500000,4520000,4550000,4570000,4600000,4630000,4670000
Oman,2270000,2290000,2330000,2390000,2450000,2510000,2580000
Pakistan,142000000,146000000,150000000,153000000,157000000,160000000,164000000
Palau,19100,19400,19600,19800,19900,19800,19500
Palestine,3220000,3310000,3380000,3440000,3510000,3580000,3660000
Panama,3030000,3090000,3150000,3210000,3270000,3330000,3390000
Papua New Guinea,5850000,5970000,6100000,6220000,6350000,6490000,6650000
Paraguay,5320000,5430000,5530000,5630000,5730000,5820000,5910000
Peru,26500000,26800000,27100000,27400000,27600000,27900000,28100000
Philippines,78000000,79700000,81400000,83100000,84700000,86300000,87900000
Poland,38600000,38500000,38500000,38400000,38400000,38400000,38400000
Portugal,10300000,10300000,10400000,10400000,10500000,10500000,10500000
Qatar,592000,615000,641000,682000,753000,865000,1020000
Rep. of Congo,3130000,3220000,3310000,3410000,3510000,3620000,3750000
Romania,22100000,22000000,21900000,21700000,21600000,21400000,21200000
Russia,146000000,146000000,145000000,145000000,144000000,144000000,143000000
Rwanda,7930000,8230000,8430000,8560000,8680000,8840000,9040000
Samoa,174000,175000,176000,177000,179000,180000,181000
San Marino,27500,27800,28200,28600,28900,29300,29700
Sao Tome and Principe,142000,145000,147000,150000,154000,157000,162000
Saudi Arabia,20700000,21200000,21800000,22500000,23100000,23800000,24500000
Senegal,9800000,10000000,10300000,10500000,10800000,11100000,11400000
Serbia,9490000,9410000,9350000,9290000,9240000,9190000,9150000
Seychelles,81000,82400,84100,85800,87400,88700,89500
Sierra Leone,4580000,4750000,4970000,5200000,5430000,5650000,5830000
Singapore,4030000,4080000,4100000,4130000,4180000,4270000,4400000
Slovak Republic,5400000,5400000,5400000,5400000,5400000,5400000,5400000
Slovenia,1990000,1990000,1990000,1990000,1990000,1990000,2000000
Solomon Islands,413000,424000,435000,447000,459000,470000,481000
Somalia,8870000,9190000,9500000,9820000,10100000,10400000,10800000
South Africa,45000000,45600000,46200000,46700000,47300000,47900000,48500000
South Korea,47400000,47700000,48000000,48300000,48500000,48700000,48900000
South Sudan,6200000,6450000,6690000,6940000,7210000,7540000,7910000
Spain,40800000,41300000,41900000,42600000,43300000,44000000,44700000
Sri Lanka,18800000,18900000,19100000,19200000,19400000,19500000,19700000
St. Kitts and Nevis,44100,44600,45200,45700,46300,46900,47300
St. Lucia,157000,158000,159000,161000,162000,163000,165000
St. Vincent and the Grenadines,108000,108000,108000,108000,109000,109000,109000
Sudan,27300000,28000000,28700000,29500000,30200000,30900000,31700000
Suriname,471000,477000,482000,488000,494000,499000,505000
Sweden,8880000,8900000,8920000,8950000,8990000,9040000,9100000
Switzerland,7140000,7180000,7220000,7270000,7320000,7390000,7460000
Syria,16400000,16800000,17100000,17400000,17800000,18400000,19100000
Tajikistan,6220000,6320000,6430000,6540000,6660000,6790000,6920000
Tanzania,33500000,34400000,35300000,36300000,37400000,38500000,39500000
Thailand,63000000,63500000,64100000,64500000,65000000,65400000,65800000
Timor-Leste,884000,901000,923000,947000,972000,995000,1020000
Togo,4920000,5060000,5200000,5330000,5470000,5610000,5760000
Tonga,98000,98500,99000,99600,100000,101000,102000
Trinidad and Tobago,1270000,1270000,1280000,1280000,1290000,1300000,1300000
Tunisia,9710000,9790000,9870000,9950000,10000000,10100000,10200000
Turkey,63200000,64200000,65100000,66100000,67000000,67900000,68800000
Turkmenistan,4520000,4560000,4610000,4660000,4700000,4750000,4810000
Tuvalu,9390,9480,9590,9720,9870,10000,10100
Uganda,23700000,24400000,25200000,26000000,26800000,27700000,28600000
Ukraine,48800000,48400000,48000000,47600000,47200000,46900000,46600000
United Arab Emirates,3130000,3300000,3480000,3710000,4070000,4590000,5300000
United Kingdom,58900000,59100000,59300000,59600000,59900000,60300000,60800000
United States,282000000,285000000,287000000,290000000,292000000,295000000,298000000
Uruguay,3320000,3330000,3330000,3320000,3320000,3320000,3330000
Uzbekistan,24800000,25100000,25400000,25700000,26100000,26400000,26800000
Vanuatu,185000,189000,194000,199000,204000,209000,214000
Venezuela,24200000,24600000,25100000,25600000,26000000,26400000,26900000
Vietnam,79900000,80700000,81500000,82300000,83100000,83800000,84600000
Yemen,17400000,17900000,18400000,19000000,19500000,20100000,20700000
Zambia,10400000,10700000,11000000,11300000,11600000,11900000,12200000
Zimbabwe,11900000,11900000,12000000,12000000,12000000,12100000,12200000
