Country,2000 Pop,2001 Pop,2002 Pop,2003 Pop,2004 Pop,2005 Pop,2006 Pop
Afghanistan,20800000,21600000,22600000,23700000,24700000,25700000,26400000
Albania,3130000,3130000,3130000,3120000,3100000,3090000,3060000
Algeria,31000000,31500000,31900000,32300000,32700000,33100000,33600000
Andorra,65400,67300,70000,73200,76300,78900,81000
Angola,16400000,16900000,17500000,18100000,18800000,19400000,20100000
Antigua and Barbuda,76000,77200,78300,79300,80300,81500,82700
Argentina,36900000,37300000,37700000,38100000,38500000,38900000,39300000
Armenia,3070000,3050000,3030000,3020000,3000000,2980000,2960000
Australia,19000000,19200000,19400000,19600000,19900000,20200000,20500000
Austria,8070000,8100000,8130000,8180000,8220000,8250000,8290000
Azerbaijan,8120000,8200000,8280000,8360000,8450000,8540000,8630000
Bahamas,298000,303000,308000,313000,319000,325000,331000
Bahrain,665000,698000,735000,779000,830000,889000,958000
Bangladesh,128000000,130000000,132000000,135000000,137000000,139000000,141000000
Barbados,272000,272000,273000,274000,275000,276000,277000
Belarus,9870000,9810000,9750000,9680000,9620000,9560000,9520000
Belgium,10300000,10300000,10400000,10400000,10500000,10500000,10600000
Belize,247000,255000,262000,269000,277000,284000,291000
Benin,6870000,7080000,7300000,7520000,7750000,7980000,8220000
Bhutan,591000,604000,616000,628000,639000,649000,657000
Bolivia,8420000,8580000,8740000,8910000,9070000,9230000,9400000
Bosnia and Herzegovina,3750000,3760000,3760000,3760000,3760000,3770000,3770000
Botswana,1640000,1670000,1700000,1730000,1770000,1800000,1840000
Brazil,175000000,177000000,180000000,182000000,184000000,186000000,188000000
Brunei,333000,340000,347000,353000,359000,365000,370000
Bulgaria,8000000,7930000,7870000,7800000,7740000,7690000,7630000
Burkina Faso,11600000,11900000,12300000,12700000,13000000,13400000,13800000
Burundi,6380000,6530000,6700000,6910000,7130000,7360000,7610000
Cambodia,12200000,12400000,12600000,12900000,13100000,13300000,13500000
Cameroon,15500000,15900000,16400000,16800000,17300000,17700000,18200000
Canada,30600000,30900000,31200000,31500000,31800000,32200000,32500000
Cape Verde,428000,436000,443000,450000,457000,463000,469000
Central African Republic,3640000,3720000,3800000,3880000,3960000,4040000,4120000
Chad,8360000,8680000,9020000,9370000,9730000,10100000,10500000
Chile,15300000,15500000,15700000,15800000,16000000,16200000,16400000
China,1290000000,1300000000,1310000000,1320000000,1320000000,1330000000,1340000000
Colombia,39600000,40300000,40900000,41500000,42100000,42600000,43200000
Comoros,542000,556000,569000,583000,597000,612000,626000
Costa Rica,3960000,4030000,4100000,4160000,4230000,4290000,4350000
Cote d'Ivoire,16500000,16900000,17200000,17600000,18000000,18400000,18800000
Croatia,4430000,4410000,4400000,4390000,4380000,4380000,4370000
Cuba,11100000,11200000,11200000,11200000,11300000,11300000,11300000
Cyprus,943000,960000,977000,994000,1010000,1030000,1050000
Czech Republic,10300000,10300000,10300000,10200000,10200000,10300000,10300000
Dem. Rep. of Congo,47100000,48400000,49900000,51400000,53100000,54800000,56600000
Denmark,5340000,5360000,5370000,5390000,5400000,5420000,5440000
Djibouti,718000,733000,747000,760000,772000,783000,795000
Dominica,69700,69700,69800,70100,70400,70600,70700
Dominican Republic,8470000,8600000,8720000,8850000,8970000,9100000,9220000
Ecuador,12700000,12900000,13100000,13400000,13600000,13800000,14100000
Egypt,68800000,70200000,71500000,72800000,74200000,75500000,76900000
El Salvador,5890000,5930000,5960000,5990000,6020000,6050000,6080000
Equatorial Guinea,606000,632000,658000,687000,717000,750000,784000
Eritrea,2290000,2370000,2480000,2600000,2720000,2830000,2920000
Estonia,1400000,1390000,1380000,1370000,1360000,1360000,1350000
Eswatini,1010000,1010000,1020000,1020000,1030000,1030000,1040000
Ethiopia,66200000,68200000,70100000,72200000,74200000,76300000,78500000
Fed. Sts. Micronesia,107000,107000,107000,107000,107000,106000,105000
Fiji,811000,814000,815000,816000,818000,822000,828000
Finland,5190000,5200000,5210000,5230000,5240000,5260000,5280000
France,59000000,59400000,59800000,60300000,60700000,61100000,61500000
Gabon,1230000,1260000,1290000,1320000,1350000,1390000,1430000
Gambia,1320000,1360000,1400000,1450000,1500000,1540000,1590000
